eV,flux
 310.100037,            -0.008134
 310.379517,            -0.846327
 310.659485,             0.340812
 310.939941,             0.283209
 311.220917,            -1.049455
 311.502441,             1.481388
 311.784454,             1.077318
 312.066925,            -0.146498
 312.349976,             0.790336
 312.633514,             1.250595
 312.917542,             0.327229
 313.202148,             0.154597
 313.487213,            -0.698930
 313.772858,             1.168501
 314.058960,             1.077569
 314.345612,             0.162076
 314.632812,             0.830143
 314.920502,            -0.106031
 315.208710,             0.358820
 315.497467,             0.740712
 315.786774,             0.627513
 316.076538,             1.265046
 316.366943,            -1.679044
 316.657806,            -0.763636
 316.949219,             0.682931
 317.241180,            -0.647487
 317.533661,            -2.933853
 317.826691,             1.123209
 318.120300,             0.338478
 318.414398,             0.004437
 318.709045,             0.489950
 319.004272,             1.634790
 319.300018,             0.458144
 319.596344,             1.807482
 319.893158,            -0.237925
 320.190582,             2.571806
 320.488525,             3.082077
 320.787048,            -0.355706
 321.086151,            -0.721135
 321.385773,            -0.736158
 321.685974,             0.025864
 321.986694,             0.043197
 322.288025,             0.089544
 322.589905,             0.094029
 322.892334,             0.091529
 323.195343,             0.278935
 323.498932,             0.048388
 323.803101,             0.235709
 324.107788,             0.347853
 324.413116,             0.441138
 324.718964,             2.177792
 325.025421,             3.346214
 325.332428,             2.963973
 325.640045,             2.646643
 325.948273,             3.394703
 326.257019,             2.828677
 326.566376,             3.189239
 326.876312,             3.070440
 327.186890,             3.739360
 327.497986,             3.412695
 327.809753,             3.263161
 328.122040,             2.705363
 328.434937,             2.801521
 328.748444,             2.529244
 329.062561,             3.232300
 329.377289,             3.350849
 329.692596,             2.747454
 330.008514,             2.875039
 330.325012,             2.810440
 330.642151,             2.746974
 330.959869,             2.764600
 331.278259,             2.609751
 331.597198,             2.463510
 331.916779,            -0.266526
 332.236969,             0.041394
 332.557770,             2.435551
 332.879242,             2.959384
 333.201263,             1.700487
 333.523987,             2.394777
 333.847229,             2.159116
 334.171204,             2.653487
 334.495728,             2.560379
 334.820953,             1.629169
 335.146759,             2.329583
 335.473206,             2.259988
 335.800323,             2.565325
 336.128021,             2.706703
 336.456451,             2.457052
 336.785461,             2.429772
 337.115112,             2.571850
 337.445404,             2.765047
 337.776367,             2.686269
 338.107971,             2.742676
 338.440247,             2.743497
 338.773163,             2.876086
 339.106720,             2.850934
 339.440918,             2.905634
 339.775787,             2.866957
 340.111389,             2.820280
 340.447571,             2.890100
 340.784454,             2.951262
 341.121979,             2.983853
 341.460175,             2.900619
 341.799072,             2.887603
 342.138641,             2.818459
 342.478882,             2.877599
 342.819733,             2.881319
 343.161346,             2.905931
 343.503601,             2.986142
 343.846588,             2.852222
 344.190216,             2.894609
 344.534515,             3.193634
 344.879547,             2.774028
 345.225220,             2.735030
 345.571686,             2.893284
 345.918762,             2.858521
 346.266541,             2.687497
 346.615021,             2.692678
 346.964203,             2.902160
 347.314117,             3.255835
 347.664764,             2.856205
 348.016052,             3.061750
 348.368073,             3.156301
 348.720795,             3.822795
 349.074249,             3.082751
 349.428467,             3.793439
 349.783325,             3.983333
 350.138947,             3.879285
 350.495270,             4.197407
 350.852325,             3.072356
 351.210144,             3.238465
 351.568634,             3.631722
 351.927917,             3.156271
 352.287872,             3.186960
 352.648621,             2.981837
 353.010040,             3.064883
 353.372284,             3.021036
 353.735229,             2.907278
 354.098907,             3.382896
 354.463379,             3.176671
 354.828552,             2.916234
 355.194550,             3.154777
 355.561249,             3.035785
 355.928680,             3.032256
 356.296906,             2.930031
 356.665863,             2.975600
 357.035645,             3.109448
 357.406189,             3.041246
 357.777466,             3.198651
 358.149506,             3.168615
 358.522339,             3.222166
 358.895935,             3.073355
 359.270355,             3.257049
 359.645508,             3.142364
 360.021454,             2.862451
 360.398224,             3.266356
 360.775726,             3.285692
 361.154083,             3.305291
 361.533203,             3.299159
 361.913116,             3.005596
 362.293823,             3.395933
 362.675323,             3.445428
 363.057648,             3.231151
 363.440826,             3.343881
 363.824738,             3.365737
 364.209503,             3.398946
 364.595062,             3.498785
 364.981415,             3.544300
 365.368683,             3.505590
 365.756653,             3.626415
 366.145538,             3.254303
 366.535156,             3.459739
 366.925690,             4.106746
 367.317017,             4.348959
 367.709229,             4.368194
 368.102264,             3.941105
 368.496094,             3.665523
 368.890808,             3.654388
 369.286316,             3.804502
 369.682770,             3.404229
 370.079987,             3.429976
 370.478088,             3.477585
 370.877045,             3.579896
 371.276825,             3.653347
 371.677551,             3.326768
 372.079102,             2.207852
 372.481506,             3.315099
 372.884796,             3.338514
 373.288940,             3.555067
 373.693970,             3.565548
 374.099945,             3.454369
 374.506714,             3.599008
 374.914429,             3.595323
 375.322998,             3.587126
 375.732452,             3.625603
 376.142792,             3.637429
 376.554077,             3.573106
 376.966248,             3.657742
 377.379272,             3.658611
 377.793274,             3.714601
 378.208130,             3.651240
 378.623962,             3.712180
 379.040649,             3.711071
 379.458252,             3.726871
 379.876831,             3.328443
 380.296265,             3.178955
 380.716675,             3.527023
 381.138031,             3.617053
 381.560272,             3.575393
