# Sum spectrum combining XMM spectra:
# Source Name    ,        obsid,           ra,          dec,          lii,          bii,         time
# 4U 1636-536    ,    303250201,      250.231,     -53.7514,      332.915,     -4.81795,      53611.8
# 4U 1636-536    ,    500350301,      250.231,     -53.7514,      332.915,     -4.81795,      54371.6
# 4U 1636-536    ,    500350401,      250.231,     -53.7514,      332.915,     -4.81795,      54523.2
# 4U 1636-53     ,    606070101,      250.231,     -53.7514,      332.915,     -4.81795,      54904.6
# 4U 1636-53     ,    606070201,      250.231,     -53.7514,      332.915,     -4.81795,      54915.9
# 4U 1636-53     ,    606070401,      250.231,     -53.7514,      332.915,     -4.81795,      55085.4
# 4U 1636-53     ,    606070301,      250.231,     -53.7514,      332.915,     -4.81795,      55079.1
# 4U 1636-53     ,    764180201,      250.231,     -53.7514,      332.915,     -4.81795,      57259.3
# 4U 1636-53     ,    764180301,      250.231,     -53.7514,      332.915,     -4.81795,      57270.7
# 4U 1636-53     ,    764180401,      250.231,     -53.7514,      332.915,     -4.81795,      57283.3
#
# Total observation time: 337806.0 seconds
#
#                  eV,             Angstrom, flux in 1/(s cm^2 A)
          3085.719238,             4.018000,             0.000000
          3058.317627,             4.054000,             0.000000
          3031.398438,             4.090000,             0.000000
          3004.948975,             4.126000,             0.000000
          2978.957031,             4.162000,             0.000000
          2953.411133,             4.198000,             0.000000
          2928.299072,             4.234000,             0.000000
          2903.611328,             4.270000,             0.000000
          2879.335449,             4.306000,             0.000000
          2855.462891,             4.342000,             0.000000
          2831.982666,             4.378000,             0.000000
          2808.885254,             4.414000,             0.000000
          2786.161621,             4.450000,             0.000000
          2763.802979,             4.486000,             0.000000
          2741.800049,             4.522000,             0.000000
          2720.144531,             4.558000,             0.000000
          2698.829102,             4.594000,             0.000000
          2677.844482,             4.630000,             0.000000
          2657.183838,             4.666000,             0.188796
          2636.839355,             4.702000,             0.190961
          2616.804688,             4.738000,             0.197621
          2597.071289,             4.774000,             0.202358
          2577.634033,             4.810000,             0.231218
          2558.485107,             4.846000,             0.226592
          2539.618896,             4.882000,             0.225523
          2521.028809,             4.918000,             0.222690
          2502.708984,             4.954000,             0.191390
          2484.653320,             4.990000,             0.248457
          2466.856201,             5.026000,             0.241118
          2449.312744,             5.062000,             0.237596
