# Sum spectrum combining XMM spectra:
# Source Name    ,        obsid,           ra,          dec,          lii,          bii,         time
# CYGNUS X-1     ,    202400501,      299.584,      35.0177,      71.1751,      2.97539,      53104.6
# CYGNUS X-1     ,    202400701,      299.584,      35.0177,      71.1751,      2.97539,      53142.5
# CYGNUS X-1     ,    202760201,       299.59,      35.2016,       71.335,       3.0668,      53323.9
# CYGNUS X-1     ,    202760301,       299.59,      35.2016,       71.335,       3.0668,      53329.9
# CYGNUS X-1     ,    202760401,       299.59,      35.2016,       71.335,       3.0668,      53335.9
# CYGNUS X-1     ,    202760501,       299.59,      35.2016,       71.335,       3.0668,      53341.9
# Cyg X-1        ,    605610401,       299.59,      35.2016,       71.335,       3.0668,      55167.2
# Cyg X-1        ,    745250701,       299.59,      35.2016,      71.3349,       3.0669,      57541.9
# CYGNUS X-1     ,    202401101,       299.59,      35.2016,       71.335,      3.06681,        53284
# CYGNUS X-1     ,    202401201,       299.59,      35.2016,       71.335,      3.06681,        53286
# Cyg X-1        ,    745250201,       299.59,      35.2016,      71.3349,      3.06692,      57535.9
# Cyg X-1        ,    745250501,       299.59,      35.2016,      71.3349,      3.06692,      57537.9
# Cyg X-1        ,    745250601,       299.59,      35.2016,      71.3349,      3.06692,      57539.9
#
# Total observation time: 677230.0 seconds
#
#                  eV,             Angstrom, flux in 1/(s cm^2 A)
          3085.719238,             4.018000,             0.000000
          3058.317627,             4.054000,             0.000000
          3031.398438,             4.090000,             0.000000
          3004.948975,             4.126000,             0.000000
          2978.957031,             4.162000,             0.000000
          2953.411133,             4.198000,             0.000000
          2928.299072,             4.234000,             0.000000
          2903.611328,             4.270000,             0.000000
          2879.335449,             4.306000,             0.000000
          2855.462891,             4.342000,             0.000000
          2831.982666,             4.378000,             0.000000
          2808.885254,             4.414000,             0.000000
          2786.161621,             4.450000,             0.000000
          2763.802979,             4.486000,             0.000000
          2741.800049,             4.522000,             0.000000
          2720.144531,             4.558000,             0.000000
          2698.829102,             4.594000,             0.000000
          2677.844482,             4.630000,             0.000000
          2657.183838,             4.666000,             1.120858
          2636.839355,             4.702000,             1.244092
          2616.804688,             4.738000,             1.517441
          2597.071289,             4.774000,             1.594241
          2577.634033,             4.810000,             1.396658
          2558.485107,             4.846000,             1.382711
          2539.618896,             4.882000,             1.670516
          2521.028809,             4.918000,             1.716408
          2502.708984,             4.954000,             1.612770
          2484.653320,             4.990000,             1.775134
          2466.856201,             5.026000,             1.781313
          2449.312744,             5.062000,             1.627721
          2432.016357,             5.098000,             1.664524
          2414.962891,             5.134000,             2.414466
          2398.146973,             5.170000,             2.464713
          2381.563721,             5.206000,             2.212019
          2365.208008,             5.242000,             2.351774
          2349.075195,             5.278000,             2.200055
