# Sum spectrum combining XMM spectra:
# Source Name    ,        obsid,           ra,          dec,          lii,          bii,         time
# GRO J1655-40   ,    112460201,      253.501,     -39.8458,      344.982,      2.45567,      52151.1
# GRO J1655-40   ,    112460301,      253.501,     -39.8458,      344.982,      2.45567,        52151
# GRO J1655-40   ,    112921301,        253.5,     -39.8458,      344.982,      2.45629,      53428.3
# GRO J1655-40   ,    112921401,        253.5,     -39.8458,      344.982,      2.45629,      53443.7
# GRO J1655-40   ,    112921501,        253.5,     -39.8458,      344.982,      2.45629,      53444.7
# GRO J1655-40   ,    112921601,        253.5,     -39.8458,      344.982,      2.45629,      53445.7
# GRO J1655-40   ,    155762501,        253.5,     -39.8458,      344.982,      2.45629,      53447.7
# GRO J1655-40   ,    155762601,        253.5,     -39.8458,      344.982,      2.45629,      53456.4
# GRO J1655-40_1 ,    400890201,      253.501,     -39.8458,      344.982,      2.45595,      54185.6
# GRO J1655-40_2 ,    400890301,      253.501,     -39.8458,      344.982,      2.45595,      54153.7
#
# Total observation time: 368663.0 seconds
#
#                  eV,             Angstrom, flux in 1/(s cm^2 A)
          3085.719238,             4.018000,             0.000000
          3058.317627,             4.054000,             0.000000
          3031.398438,             4.090000,             0.000000
          3004.948975,             4.126000,             0.000000
          2978.957031,             4.162000,             0.000000
          2953.411133,             4.198000,             0.000000
          2928.299072,             4.234000,             0.000000
          2903.611328,             4.270000,             0.000000
          2879.335449,             4.306000,             0.000000
          2855.462891,             4.342000,             0.000000
          2831.982666,             4.378000,             0.000000
          2808.885254,             4.414000,             0.000000
          2786.161621,             4.450000,             0.000000
          2763.802979,             4.486000,             0.000000
          2741.800049,             4.522000,             0.000000
          2720.144531,             4.558000,             0.000000
          2698.829102,             4.594000,             0.000000
          2677.844482,             4.630000,             0.000000
          2657.183838,             4.666000,             2.042871
          2636.839355,             4.702000,             2.591361
          2616.804688,             4.738000,             2.112395
          2597.071289,             4.774000,             2.982683
          2577.634033,             4.810000,             3.099104
          2558.485107,             4.846000,             2.746602
          2539.618896,             4.882000,             2.925132
          2521.028809,             4.918000,             2.678819
          2502.708984,             4.954000,             4.057132
          2484.653320,             4.990000,             2.468348
          2466.856201,             5.026000,             3.509087
