# Sum spectrum combining XMM spectra:
# Source Name    ,        obsid,           ra,          dec,          lii,          bii,         time
# GS 1354-645    ,    727961501,      209.541,     -64.7347,      309.978,     -2.77966,      57240.8
#
# Total observation time: 23938.0 seconds
#
#                  eV,             Angstrom, flux in 1/(s cm^2 A)
          3085.719238,             4.018000,             0.000000
          3058.317627,             4.054000,             0.000000
          3031.398438,             4.090000,             0.000000
          3004.948975,             4.126000,             0.000000
          2978.957031,             4.162000,             0.000000
          2953.411133,             4.198000,             0.000000
          2928.299072,             4.234000,             0.000000
          2903.611328,             4.270000,             0.000000
          2879.335449,             4.306000,             0.000000
          2855.462891,             4.342000,             0.000000
          2831.982666,             4.378000,             0.000000
          2808.885254,             4.414000,             0.000000
          2786.161621,             4.450000,             0.000000
          2763.802979,             4.486000,             0.000000
          2741.800049,             4.522000,             0.000000
          2720.144531,             4.558000,             0.000000
          2698.829102,             4.594000,             0.000000
          2677.844482,             4.630000,             0.000000
          2657.183838,             4.666000,             0.014403
          2636.839355,             4.702000,             0.010001
          2616.804688,             4.738000,             0.010107
          2597.071289,             4.774000,             0.014124
          2577.634033,             4.810000,             0.016048
          2558.485107,             4.846000,             0.013078
          2539.618896,             4.882000,             0.014080
          2521.028809,             4.918000,             0.013028
          2502.708984,             4.954000,             0.019452
          2484.653320,             4.990000,             0.010666
          2466.856201,             5.026000,             0.017206
          2449.312744,             5.062000,             0.029869
          2432.016357,             5.098000,             0.029287
          2414.962891,             5.134000,             0.014955
          2398.146973,             5.170000,             0.022509
          2381.563721,             5.206000,             0.021281
          2365.208008,             5.242000,             0.018284
          2349.075195,             5.278000,             0.024189
          2333.161377,             5.314000,             0.016576
          2317.461670,             5.350000,             0.018036
          2301.971680,             5.386000,             0.025093
          2286.687500,             5.422000,             0.011052
          2271.604736,             5.458000,             0.012909
          2256.719971,             5.494000,             0.017362
          2242.028809,             5.530000,             0.016546
          2227.527832,             5.566000,             0.018362
          2213.212891,             5.602000,             0.014393
          2199.081055,             5.638000,             0.012848
          2185.128418,             5.674000,             0.012228
          2171.352051,             5.710000,             0.017841
