# Sum spectrum combining XMM spectra:
# Source Name    ,        obsid,           ra,          dec,          lii,          bii,         time
# GS 1826-238    ,    150390101,      277.368,     -23.7969,      9.27256,     -6.08806,      52735.9
# GS 1826-238    ,    150390301,      277.368,     -23.7969,      9.27256,     -6.08806,      52737.9
# GS 1826-238    ,    156160101,      277.368,     -23.7969,      9.27256,     -6.08806,      52537.1
#
# Total observation time: 208673.0 seconds
#
#                  eV,             Angstrom, flux in 1/(s cm^2 A)
          3085.719238,             4.018000,             0.000000
          3058.317627,             4.054000,             0.000000
          3031.398438,             4.090000,             0.000000
          3004.948975,             4.126000,             0.000000
          2978.957031,             4.162000,             0.000000
          2953.411133,             4.198000,             0.000000
          2928.299072,             4.234000,             0.000000
          2903.611328,             4.270000,             0.000000
          2879.335449,             4.306000,             0.000000
          2855.462891,             4.342000,             0.000000
          2831.982666,             4.378000,             0.000000
          2808.885254,             4.414000,             0.000000
          2786.161621,             4.450000,             0.000000
          2763.802979,             4.486000,             0.000000
          2741.800049,             4.522000,             0.000000
          2720.144531,             4.558000,             0.000000
          2698.829102,             4.594000,             0.000000
          2677.844482,             4.630000,             0.000000
          2657.183838,             4.666000,            -0.001429
          2636.839355,             4.702000,             0.000567
          2616.804688,             4.738000,             0.025378
          2597.071289,             4.774000,             0.009797
          2577.634033,             4.810000,             0.011555
          2558.485107,             4.846000,             0.018269
          2539.618896,             4.882000,            -0.017863
          2521.028809,             4.918000,             0.024420
          2502.708984,             4.954000,             0.047929
          2484.653320,             4.990000,            -0.006724
          2466.856201,             5.026000,            -0.024626
          2449.312744,             5.062000,             0.033520
          2432.016357,             5.098000,             0.014333
          2414.962891,             5.134000,            -0.017058
          2398.146973,             5.170000,             0.004027
          2381.563721,             5.206000,             0.011269
          2365.208008,             5.242000,             0.032660
          2349.075195,             5.278000,             0.012187
          2333.161377,             5.314000,             0.018831
          2317.461670,             5.350000,             0.006508
          2301.971680,             5.386000,             0.031431
          2286.687500,             5.422000,             0.019779
          2271.604736,             5.458000,             0.031396
          2256.719971,             5.494000,             0.016999
