# Sum spectrum combining XMM spectra:
# Source Name    ,        obsid,           ra,          dec,          lii,          bii,         time
# GX 339-4       ,    148220201,      255.706,     -48.7897,      338.939,     -4.32667,      52706.7
# GX 339-4       ,    204730201,      255.706,     -48.7897,      338.939,     -4.32667,      53080.7
# GX 339-4       ,    204730301,      255.706,     -48.7897,      338.939,     -4.32667,      53082.6
# GX 339-4       ,    605610201,      255.706,     -48.7897,      338.939,     -4.32667,      54916.3
# GX 339-4       ,    654130401,      255.706,     -48.7897,      338.939,     -4.32667,        55283
# GX 339-4       ,    760646201,      255.706,     -48.7897,      338.939,     -4.32632,      57262.7
# GX 339-4       ,    760646301,      255.706,     -48.7897,      338.939,     -4.32632,      57267.6
# GX 339-4       ,    760646401,      255.706,     -48.7897,      338.939,     -4.32632,      57272.7
# GX 339-4       ,    760646501,      255.706,     -48.7897,      338.939,     -4.32632,      57277.7
# GX 339-4       ,    760646601,      255.706,     -48.7897,      338.939,     -4.32632,      57282.7
# GX 339-4       ,    760646701,      255.706,     -48.7897,      338.939,     -4.32632,      57295.1
#
# Total observation time: 537293.0 seconds
#
#                  eV,             Angstrom, flux in 1/(s cm^2 A)
          3085.719238,             4.018000,             0.000000
          3058.317627,             4.054000,             0.000000
          3031.398438,             4.090000,             0.000000
          3004.948975,             4.126000,             0.000000
          2978.957031,             4.162000,             0.000000
          2953.411133,             4.198000,             0.000000
          2928.299072,             4.234000,             0.000000
          2903.611328,             4.270000,             0.000000
          2879.335449,             4.306000,             0.000000
          2855.462891,             4.342000,             0.000000
          2831.982666,             4.378000,             0.000000
          2808.885254,             4.414000,             0.000000
          2786.161621,             4.450000,             0.000000
          2763.802979,             4.486000,             0.000000
          2741.800049,             4.522000,             0.000000
          2720.144531,             4.558000,             0.000000
          2698.829102,             4.594000,             0.000000
          2677.844482,             4.630000,             0.000000
          2657.183838,             4.666000,             0.080803
          2636.839355,             4.702000,             0.100170
          2616.804688,             4.738000,             0.135007
          2597.071289,             4.774000,             0.121149
          2577.634033,             4.810000,             0.163467
          2558.485107,             4.846000,             0.162717
          2539.618896,             4.882000,             0.157316
          2521.028809,             4.918000,             0.137592
          2502.708984,             4.954000,             0.171615
          2484.653320,             4.990000,             0.152317
          2466.856201,             5.026000,             0.141400
          2449.312744,             5.062000,             0.165263
          2432.016357,             5.098000,             0.182158
