# Sum spectrum combining XMM spectra:
# Source Name    ,        obsid,           ra,          dec,          lii,          bii,         time
# SAX J1808.4-3658,    400230401,      272.115,      -36.979,      355.385,     -8.14822,      53992.6
# SAX J1808.4-3658,    400230501,      272.115,      -36.979,      355.385,     -8.14822,      54169.7
# SAX J1808.4-3658,    724490201,      272.115,      -36.979,      355.385,     -8.14822,      57123.1
# SAX J1808.4-3658,    560180601,      272.115,     -36.9787,      355.385,     -8.14831,        54740
# SAX J1808.4-3658,     64940101,      272.115,     -36.9783,      355.385,     -8.14781,        51992
#
# Total observation time: 267360.0 seconds
#
#                  eV,             Angstrom, flux in 1/(s cm^2 A)
          3085.719238,             4.018000,             0.000000
          3058.317627,             4.054000,             0.000000
          3031.398438,             4.090000,             0.000000
          3004.948975,             4.126000,             0.000000
          2978.957031,             4.162000,             0.000000
          2953.411133,             4.198000,             0.000000
          2928.299072,             4.234000,             0.000000
          2903.611328,             4.270000,             0.000000
          2879.335449,             4.306000,             0.000000
          2855.462891,             4.342000,             0.000000
          2831.982666,             4.378000,             0.000000
          2808.885254,             4.414000,             0.000000
          2786.161621,             4.450000,             0.000000
          2763.802979,             4.486000,             0.000000
          2741.800049,             4.522000,             0.000000
          2720.144531,             4.558000,             0.000000
          2698.829102,             4.594000,             0.000000
          2677.844482,             4.630000,             0.000000
          2657.183838,             4.666000,             0.021170
          2636.839355,             4.702000,             0.024072
          2616.804688,             4.738000,             0.031745
          2597.071289,             4.774000,             0.036325
          2577.634033,             4.810000,             0.036053
          2558.485107,             4.846000,             0.032359
          2539.618896,             4.882000,             0.028725
          2521.028809,             4.918000,             0.034364
          2502.708984,             4.954000,             0.040454
          2484.653320,             4.990000,             0.036113
          2466.856201,             5.026000,             0.033110
          2449.312744,             5.062000,             0.029324
          2432.016357,             5.098000,             0.035718
          2414.962891,             5.134000,             0.043928
          2398.146973,             5.170000,             0.035542
          2381.563721,             5.206000,             0.035638
          2365.208008,             5.242000,             0.032589
          2349.075195,             5.278000,             0.032512
          2333.161377,             5.314000,             0.028679
          2317.461670,             5.350000,             0.022235
