# Sum spectrum combining XMM spectra:
# Source Name    ,        obsid,           ra,          dec,          lii,          bii,         time
# Swift J1753.5-0127,    311590901,      268.368,     -1.45258,       24.897,      12.1854,      53818.7
# SWIFT J1753.5-0127,    605610301,      268.368,      -1.4525,       24.897,      12.1855,        55103
# Swift J1753.5-0127,    744320201,      268.368,     -1.45172,      24.8977,       12.186,      56913.8
# Swift J1753.5-0127,    744320301,      268.368,     -1.45172,      24.8977,       12.186,      56913.7
# Swift J1753.5-0127,    770580201,      268.368,     -1.45172,      24.8977,       12.186,      57100.1
# SwiftJ1753.5-0127,    694930501,      268.368,     -1.45169,      24.8978,      12.1859,      56208.2
# SWIFT J1753.5-0127,    691740201,      268.368,     -1.45167,      24.8978,      12.1859,      56180.7
#
# Total observation time: 249417.0 seconds
#
#                  eV,             Angstrom, flux in 1/(s cm^2 A)
          3085.719238,             4.018000,             0.000000
          3058.317627,             4.054000,             0.000000
          3031.398438,             4.090000,             0.000000
          3004.948975,             4.126000,             0.000000
          2978.957031,             4.162000,             0.000000
          2953.411133,             4.198000,             0.000000
          2928.299072,             4.234000,             0.000000
          2903.611328,             4.270000,             0.000000
          2879.335449,             4.306000,             0.000000
          2855.462891,             4.342000,             0.000000
          2831.982666,             4.378000,             0.000000
          2808.885254,             4.414000,             0.000000
          2786.161621,             4.450000,             0.000000
          2763.802979,             4.486000,             0.000000
          2741.800049,             4.522000,             0.000000
          2720.144531,             4.558000,             0.000000
          2698.829102,             4.594000,             0.000000
          2677.844482,             4.630000,             0.000000
          2657.183838,             4.666000,             0.043577
          2636.839355,             4.702000,             0.048622
          2616.804688,             4.738000,             0.047625
          2597.071289,             4.774000,             0.068034
          2577.634033,             4.810000,             0.076058
          2558.485107,             4.846000,             0.042495
          2539.618896,             4.882000,             0.074669
          2521.028809,             4.918000,             0.076868
          2502.708984,             4.954000,             0.062666
          2484.653320,             4.990000,             0.066038
          2466.856201,             5.026000,             0.054352
          2449.312744,             5.062000,             0.050407
          2432.016357,             5.098000,             0.024518
          2414.962891,             5.134000,             0.079032
