# Sum spectrum combining XMM spectra:
# Source Name    ,        obsid,           ra,          dec,          lii,          bii,         time
# Serpens X-1    ,     84020401,      279.987,        5.035,      36.1162,      4.84384,      53086.6
# Serpens X-1    ,     84020501,      279.987,        5.035,      36.1162,      4.84384,      53088.6
# Serpens X-1    ,     84020601,      279.987,        5.035,      36.1162,      4.84384,      53090.6
#
# Total observation time: 65590.0 seconds
#
#                  eV,             Angstrom, flux in 1/(s cm^2 A)
          3085.719238,             4.018000,             0.000000
          3058.317627,             4.054000,             0.000000
          3031.398438,             4.090000,             0.000000
          3004.948975,             4.126000,             0.000000
          2978.957031,             4.162000,             0.000000
          2953.411133,             4.198000,             0.000000
          2928.299072,             4.234000,             0.000000
          2903.611328,             4.270000,             0.000000
          2879.335449,             4.306000,             0.000000
          2855.462891,             4.342000,             0.000000
          2831.982666,             4.378000,             0.000000
          2808.885254,             4.414000,             0.000000
          2786.161621,             4.450000,             0.000000
          2763.802979,             4.486000,             0.000000
          2741.800049,             4.522000,             0.000000
          2720.144531,             4.558000,             0.000000
          2698.829102,             4.594000,             0.000000
          2677.844482,             4.630000,             0.000000
          2657.183838,             4.666000,             0.199498
          2636.839355,             4.702000,             0.177972
          2616.804688,             4.738000,             0.174819
          2597.071289,             4.774000,             0.188259
          2577.634033,             4.810000,             0.172072
          2558.485107,             4.846000,             0.127502
          2539.618896,             4.882000,             0.195769
          2521.028809,             4.918000,             0.197146
          2502.708984,             4.954000,             0.192892
          2484.653320,             4.990000,             0.192542
          2466.856201,             5.026000,             0.168890
          2449.312744,             5.062000,             0.218797
          2432.016357,             5.098000,             0.189604
          2414.962891,             5.134000,             0.290945
          2398.146973,             5.170000,             0.224999
          2381.563721,             5.206000,             0.233783
          2365.208008,             5.242000,             0.298905
          2349.075195,             5.278000,             0.265094
          2333.161377,             5.314000,             0.300226
          2317.461670,             5.350000,             0.309624
          2301.971680,             5.386000,             0.279102
          2286.687500,             5.422000,             0.330875
          2271.604736,             5.458000,             0.305271
          2256.719971,             5.494000,             0.274263
          2242.028809,             5.530000,             0.293927
