# Sum spectrum combining XMM spectra:
# Source Name    ,        obsid,           ra,          dec,          lii,          bii,         time
# XTE J1650-500  ,    136140301,      252.504,     -49.9625,      336.718,     -3.42735,      52165.6
# XTE J1650-500  ,    206640101,      252.504,     -49.9625,      336.718,     -3.42735,      53435.6
#
# Total observation time: 65512.0 seconds
#
#                  eV,             Angstrom, flux in 1/(s cm^2 A)
          3085.719238,             4.018000,             0.000000
          3058.317627,             4.054000,             0.000000
          3031.398438,             4.090000,             0.000000
          3004.948975,             4.126000,             0.000000
          2978.957031,             4.162000,             0.000000
          2953.411133,             4.198000,             0.000000
          2928.299072,             4.234000,             0.000000
          2903.611328,             4.270000,             0.000000
          2879.335449,             4.306000,             0.000000
          2855.462891,             4.342000,             0.000000
          2831.982666,             4.378000,             0.000000
          2808.885254,             4.414000,             0.000000
          2786.161621,             4.450000,             0.000000
          2763.802979,             4.486000,             0.000000
          2741.800049,             4.522000,             0.000000
          2720.144531,             4.558000,             0.000000
          2698.829102,             4.594000,             0.000000
          2677.844482,             4.630000,             0.000000
          2657.183838,             4.666000,             0.093687
          2636.839355,             4.702000,             0.122503
          2616.804688,             4.738000,             0.127245
          2597.071289,             4.774000,             0.130768
          2577.634033,             4.810000,             0.116836
          2558.485107,             4.846000,             0.147459
          2539.618896,             4.882000,             0.157610
          2521.028809,             4.918000,             0.175449
          2502.708984,             4.954000,             0.135794
          2484.653320,             4.990000,             0.137944
          2466.856201,             5.026000,             0.151149
          2449.312744,             5.062000,             0.148236
          2432.016357,             5.098000,             0.183888
          2414.962891,             5.134000,             0.150051
          2398.146973,             5.170000,             0.187462
          2381.563721,             5.206000,             0.180494
          2365.208008,             5.242000,             0.156748
          2349.075195,             5.278000,             0.201335
          2333.161377,             5.314000,             0.158858
          2317.461670,             5.350000,             0.153531
          2301.971680,             5.386000,             0.150167
          2286.687500,             5.422000,             0.160370
          2271.604736,             5.458000,             0.182907
          2256.719971,             5.494000,             0.146631
          2242.028809,             5.530000,             0.123986
          2227.527832,             5.566000,             0.120923
          2213.212891,             5.602000,             0.134437
