# Sum spectrum combining XMM spectra:
# Source Name    ,        obsid,           ra,          dec,          lii,          bii, start time mjd,   end time mjd
# CYGNUS X-1     ,    202760201,       299.59,      35.2016,       71.335,       3.0668,   53323.920787,   53324.139699
# CYGNUS X-1     ,    202760301,       299.59,      35.2016,       71.335,       3.0668,   53329.905278,   53330.124144
# CYGNUS X-1     ,    202760401,       299.59,      35.2016,       71.335,       3.0668,   53335.889687,   53336.135162
# CYGNUS X-1     ,    202760501,       299.59,      35.2016,       71.335,       3.0668,   53341.874225,   53342.004028
# Cyg X-1        ,    605610401,       299.59,      35.2016,       71.335,       3.0668,   55167.155752,   55167.537014
# Cyg X-1        ,    745250701,       299.59,      35.2016,      71.3349,       3.0669,   57541.912604,   57543.482049
# CYGNUS X-1     ,    202401101,       299.59,      35.2016,       71.335,      3.06681,   53284.035451,   53284.246343
# CYGNUS X-1     ,    202401201,       299.59,      35.2016,       71.335,      3.06681,   53286.029919,   53286.241019
# Cygnus X-1     ,    500880201,       299.59,      35.2016,       71.335,      3.06681,   54574.496273,   54575.184213
# Cygnus X-1     ,    610000401,       299.59,      35.2016,       71.335,      3.06681,   54967.981169,   54968.269838
# Cyg X-1        ,    745250201,       299.59,      35.2016,      71.3349,      3.06692,   57535.930486,   57537.624931
# Cyg X-1        ,    745250501,       299.59,      35.2016,      71.3349,      3.06692,   57537.924792,   57539.600718
# Cyg X-1        ,    745250601,       299.59,      35.2016,      71.3349,      3.06692,   57539.916574,   57541.599456
#
Total observation time: 761607.0 seconds
#
#                  eV,             Angstrom, flux in 1/(s cm^2 A), error in 1/(s cm^2 A)
          3085.719238,             4.018000,             0.000000,              0.000000
          3058.317627,             4.054000,             0.000000,              0.000000
          3031.398438,             4.090000,             0.000000,              0.000000
          3004.948975,             4.126000,             0.000000,              0.000000
          2978.957031,             4.162000,             0.000000,              0.000000
          2953.411133,             4.198000,             0.000000,              0.000000
          2928.299072,             4.234000,             0.000000,              0.000000
          2903.611328,             4.270000,             0.000000,              0.000000
          2879.335449,             4.306000,             0.000000,              0.000000
          2855.462891,             4.342000,             0.000000,              0.000000
          2831.982666,             4.378000,             0.000000,              0.000000
          2808.885254,             4.414000,             0.000000,              0.000000
          2786.161621,             4.450000,             0.000000,              0.000000
          2763.802979,             4.486000,             0.000000,              0.000000
          2741.800049,             4.522000,             0.000000,              0.000000
          2720.144531,             4.558000,             0.000000,              0.000000
          2698.829102,             4.594000,             0.000000,              0.000000
          2677.844482,             4.630000,             0.000000,              0.000000
          2657.183838,             4.666000,             1.120858,              0.000000
          2636.839355,             4.702000,             1.244092,              0.000000
          2616.804688,             4.738000,             1.517441,              0.000000
          2597.071289,             4.774000,             1.594241,              0.000000
          2577.634033,             4.810000,             1.396658,              0.000000
          2558.485107,             4.846000,             1.382711,              0.000000
          2539.618896,             4.882000,             1.670516,              0.000000
          2521.028809,             4.918000,             1.716408,              0.000000
          2502.708984,             4.954000,             1.612770,              0.000000
          2484.653320,             4.990000,             1.775134,              0.000000
          2466.856201,             5.026000,             1.781313,              0.000000
          2449.312744,             5.062000,             1.627721,              0.000000
          2432.016357,             5.098000,             1.664524,              0.000000
          2414.962891,             5.134000,             2.615469,              0.000000
          2398.146973,             5.170000,             2.636282,              0.000000
          2381.563721,             5.206000,             2.383587,              0.000000
          2365.208008,             5.242000,             2.511552,              0.000000
          2349.075195,             5.278000,             2.344787,              0.000000
          2333.161377,             5.314000,             2.567699,              0.000000
          2317.461670,             5.350000,             2.594448,              0.000000
          2301.971680,             5.386000,             2.706249,              0.000000
          2286.687500,             5.422000,             2.337946,              0.000000
          2271.604736,             5.458000,             2.572905,              0.000000
          2256.719971,             5.494000,             2.192604,              0.000000
          2242.028809,             5.530000,             2.024236,              0.000000
          2227.527832,             5.566000,             2.038395,              0.000000
          2213.212891,             5.602000,             2.020398,              0.000000
          2199.081055,             5.638000,             2.057617,              0.000000
          2185.128418,             5.674000,             2.080143,              0.000000
          2171.352051,             5.710000,             2.325245,              0.000000
          2157.747803,             5.746000,             2.597466,              0.000000
          2144.313477,             5.782000,             2.727772,              0.000000
          2131.045166,             5.818000,             2.899213,              0.000000
